#OTU ID	M04754
OTU1926	232
OTU834	2551
OTU2846	254
OTU7579	102
OTU1608	360
OTU759	2087
OTU1912	444
OTU2114	478
OTU616	1079
OTU19839	496
OTU1848	829
OTU7379	417
OTU7277	31
OTU2808	280
OTU4343	78
OTU9415	40
OTU7136	64
OTU2100	603
OTU34	13393
OTU438	1187
OTU865	2158
OTU23498	371
OTU1616	2763
OTU1447	550
OTU6645	91
OTU1185	659
OTU818	2415
OTU4724	184
OTU6959	184
OTU8583	876
OTU1031	1364
OTU3316	813
OTU3200	204
OTU1273	610
OTU5755	40
OTU2855	135
OTU3104	643
OTU9898	35
OTU15920	49
OTU11197	201
OTU21122	9
OTU26093	1201
OTU592	1831
OTU6945	427
OTU2324	363
OTU2010	226
OTU2139	658
OTU795	1013
OTU6244	935
OTU19012	36
OTU2462	285
OTU23992	1921
OTU4520	1145
OTU388	3090
OTU4618	138
OTU539	1963
OTU1335	604
OTU6929	1162
OTU25269	15
OTU10781	157
OTU498	1622
OTU1640	721
OTU5103	205
OTU3045	422
OTU817	733
OTU13018	504
OTU204	6671
OTU217	3098
OTU299	6407
OTU1204	3986
OTU25300	170
OTU1532	1238
OTU541	1210
OTU10316	19
OTU1717	756
OTU3718	7169
OTU1320	1930
OTU471	1511
OTU24128	51
OTU493	2536
OTU4006	212
OTU2593	2492
OTU2973	131
OTU8256	82
OTU248	5617
OTU26337	4357
OTU436	1492
OTU10572	235
OTU2246	1980
OTU27503	237
OTU209	4378
OTU3557	102
OTU3262	309
OTU527	1305
OTU2099	682
OTU937	1781
OTU2182	1101
OTU2383	216
OTU28089	4299
OTU3165	1425
OTU6771	43
OTU3102	2476
OTU7625	67
OTU2492	322
OTU368	7555
OTU4294	1358
OTU10434	1010
OTU626	2349
OTU1482	702
OTU1419	697
OTU906	923
OTU934	1032
OTU3318	372
OTU1356	437
OTU10955	330
OTU25354	12572
OTU415	2446
OTU421	1565
OTU705	1353
OTU1264	647
OTU4200	1274
OTU1384	908
OTU7701	94
OTU23557	90
OTU1444	753
OTU17830	338
OTU6050	55
OTU8248	39
OTU27738	99
OTU453	2294
OTU470	1834
OTU1101	992
OTU14990	86
OTU6956	1506
OTU10920	16
OTU409	2566
OTU28133	1836
