#OTU ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
OTU3037	35	3	0	59	9	13	8	4	30	39	15	26	125	36	29	18	21	32	21	0	12	1	36	11	6	10	5	8	38	7
OTU137	663	3598	1366	504	596	778	925	414	666	839	701	718	627	869	1000	727	682	2118	813	261	1196	924	913	1082	339	1157	498	890	1103	459
OTU25008	96	161	1	169	3	6	3	1	12	60	21	16	4	31	11	1	15	1	13	1	1	4	11	14	0	8	3	6	35	3
OTU18885	6	75	6	3	41	6	13	58	40	10	4	24	0	37	32	38	16	74	14	44	14	15	1	9	4	5	63	47	15	32
OTU8021	30	44	6	2	40	2	9	51	4	17	7	64	0	13	12	5	10	23	11	7	19	4	13	10	5	7	10	9	14	11
OTU45	620	920	99	364	387	421	432	334	582	645	859	757	30	1131	707	922	567	173	732	142	953	108	659	590	133	745	265	799	915	110
OTU25	504	299	125	200	545	177	460	100	1374	308	2459	208	2	158	802	578	560	49	1184	134	338	39	938	66	174	760	243	204	640	127
OTU1160	343	13	29	27	28	12	9	36	61	13	6	23	7	19	30	49	31	114	51	34	2	36	8	50	39	22	40	69	30	19
OTU1892	17	109	5	3	18	12	7	33	21	11	5	39	11	24	19	14	14	29	9	17	11	11	4	41	15	27	30	11	15	17
OTU66	130	137	916	112	295	279	164	152	247	299	503	9	0	201	115	114	716	3	285	334	946	46	770	15	407	102	143	106	116	142
OTU25261	685	1330	793	146	654	237	558	421	331	1733	686	1615	126	777	900	959	556	1472	288	314	400	1467	554	1741	1042	1524	896	673	782	429
OTU256	72	8	319	168	195	136	50	223	26	1968	52	6	0	207	24	31	283	1	189	300	444	75	69	126	39	4	362	135	58	123
OTU16252	102	40	157	78	111	19	50	78	37	292	60	669	4	116	115	46	99	65	44	182	58	142	219	228	111	95	130	97	40	78
OTU78	540	528	594	1196	27	432	38	68	635	469	24	138	5	1304	253	123	207	323	675	59	93	79	876	120	28	38	139	481	2693	170
OTU18185	90	57	2	35	4	14	14	15	48	280	10	66	66	116	51	4	20	2	35	11	18	4	37	12	4	13	11	6	77	8
OTU2950	38	27	18	73	4	40	41	1	211	12	7	5	100	11	19	77	21	135	12	0	10	0	6	3	13	14	11	37	19	2
OTU375	284	266	136	56	223	297	139	326	226	232	142	426	8	226	233	268	191	195	209	129	272	137	138	140	96	244	291	289	192	178
OTU12262	148	13	369	83	202	9	60	79	9	235	296	14	0	124	69	16	256	0	42	438	97	203	12	69	617	8	177	88	64	351
OTU716	424	35	82	88	126	86	52	170	99	120	127	1	0	38	48	113	515	0	176	107	291	10	295	4	36	24	73	29	46	73
OTU13758	8	4	1	0	5	0	3	0	8	3	2	0	0	5	2	0	2	0	1	2	1	0	0	0	1	3	1	0	0	1
OTU19502	45	32	62	11	66	43	33	110	0	85	72	72	0	72	79	65	66	51	70	88	42	105	15	106	39	30	118	53	36	65
OTU27174	96	32	32	66	156	90	117	80	76	168	138	194	8	87	160	57	75	60	63	36	87	24	82	71	4	39	45	38	130	56
OTU175	284	712	420	261	439	352	332	335	311	611	491	375	37	410	412	535	391	474	373	417	373	338	297	211	363	270	322	579	723	418
OTU1663	59	55	20	100	18	29	47	6	132	21	34	46	96	39	31	10	36	25	55	9	32	7	45	14	8	23	13	7	31	9
OTU4610	43	27	0	0	0	0	0	4	0	4	0	0	0	5	1	0	4	0	0	0	0	17	0	3	8	0	0	12	0	0
OTU3189	7	1	9	0	5	12	7	31	1	7	2	13	0	6	10	11	16	19	16	7	11	11	0	6	16	12	28	10	10	13
OTU12	1441	432	1352	504	1164	606	1198	967	415	927	3726	183	1	344	1079	317	1174	109	628	1420	1260	426	1982	203	725	534	226	612	608	1125
OTU24450	23	30	76	11	90	10	4	159	0	6	19	9	0	44	64	43	96	22	33	124	23	95	9	37	42	6	211	43	22	149
OTU2256	158	52	38	400	5	80	77	2	216	15	1	26	697	26	9	67	23	219	90	0	7	7	8	17	3	54	0	12	0	16
OTU42	415	832	195	153	189	63	178	188	78	1641	29	666	89	938	283	91	167	930	151	149	200	125	140	327	74	324	436	415	456	99
OTU442	28	10	3	95	3	18	70	6	143	1	0	3	2420	15	1	24	8	224	14	3	1	10	15	85	0	19	3	6	0	65
OTU3349	17	11	36	11	17	5	32	3	16	95	50	4	16	6	13	16	61	3	22	6	0	14	6	5	4	1	33	17	15	6
OTU12543	290	568	1051	33	704	131	255	321	82	1345	722	877	30	634	664	496	381	971	115	252	527	764	670	1035	2052	1011	638	684	515	303
